Sentence,Sentiment
"Он для них — свой, родной, легитимный.",positive
Бизнес-модель YouTube позволяет ему окупаться только за счёт рекламных поступлений?,neutral
"Лучше бы за подчинёнными следил, которые крышуют барыг.",negative
"Сегодня я провел телефонный разговор с президентом Зардари, а члены моей команды также разговаривали со своими коллегами.",neutral
"У лодки закончилось горючее, и она три недели дрейфовала в открытом море.",negative
"Жаль, что мы мусорим и материмся на каждом шагу.",negative
"Известный крестьяновед, действительный член Академии сельскохозяйственных наук Теодор Шанин говорит, что коллективизация сломала сельское хозяйство:",negative
"На четвёртой, тихой стадии, медитирующий внезапно и полностью останавливается, оставаясь совершенно неподвижным в течение пятнадцати минут, наблюдая за всем, что происходит.",neutral
Купленное оборудования стоимостью от 500 000 до 1 000 000 придется выкинуть - ерунда.,negative
"Много модерна, как я люблю =)",positive
И вот счастливые времена начали заканчиваться.,negative
"Сейчас его занимает московский «Спартак», опережающий нижегородцев всего на одно очко.",neutral
"В то же время именно женщинам более свойственно оценивать высказывание, исходя из контекста.",neutral
"Увы, нынешний год 30-летний уфимец пока не может занести себе в актив.",negative
"Интернет-издание для техноманов Engadget http://www.engadget.com/2009/11/24/chrome-os-like-lightning-from-a-usb-key-we-could-get-used-to-th/ target=_blank>сообщает, что энтузиасты уже опробовали новую операционную систему Google Chrome OS, сделав загрузочный диск на обычной флешке.",neutral
"Толчком к публикации материала послужил выпуск медицинской программы Dr. Oz Show, в котором утверждалось, что цикорий, красный лук и окунь на 75% снижают риск возникновения рака яичников.",neutral
Однако эта сумма вполне сопоставима с затратами на регулярное привлечение сил МЧС и тушение пожаров.,neutral
"И переход отремонтировали, и автобус чистый, и дворник поздоровался, и сосед извинился за вчерашний концерт для дрели с оркестром.",positive
"Проводить аналогии между англосаксонским и германским расизмом, конечно, неисторично и политически некорректно.",negative
"В связи с дальнейшим резким повышением, лечение дя многих пациентов стало стоить сотни тысяч долларов в год, что далеко не всем по карману.",negative
"Опросы о счастье не столь безобидны: вербализовав единожды свою оценку, человек уверует в сказанное, и это становится фактом его существования.",negative
"Феерическая пластичность позволяет актёру оставаться узнаваемым, будучи разным в разных ролях и произведениях.",positive
"На нью-йоркской бирже NYMEХ стоимость июльских фьючерсов на американскую лёгкую нефть выросла по итогам пятничных торгов на 1,23 доллара.",neutral
Баварская государственная библиотека была основана в 1558 году.,neutral
"Порой кажется, что женщине найти хорошую и перспективную работу крайне сложно.",negative
Ну вот чего им стоило просто запускать долгие действия в фоновом потоке?,negative
"В течение двух недель, до 25 марта, когда будет введено летнее в Европе, разница со временем восточного побережья США составляет только пять часов вместо обычных шести часов.",neutral
"Клуб Gagarin и в Гоа — ну там полный космос, понятно.",positive
"Да и вообще, какого черта гражданство ребенка должно зависеть от того, состоит ли его мать в браке????",negative
"Безработица не сократилась (её сегодняшний уровень — 9,6%, что гораздо выше докризисного), а восстановление экономики и потребительской активности проходит слишком вяло.",negative
В настоящее время деятельностью «спасителей» занимается местная полиция.,neutral
"Впрочем ещё Наполеон признал в Дюссельдорфе""маленький Париж"".",positive
Несмотря на это сетевые операторы стали отключать «Дождь» от своих сетей.,negative
"«Я полагаю, что пилотируемые полёты требуют нашего наибольшего внимания именно сейчас».",neutral
"За четыре дня, потрави всего час в день, вы научитесь технике, которая останется с вами на всю жизнь.",positive
"Как заявил в 2005 году в интервью агентству специальный представитель президента России по переговорам с КНР по мерам доверия в районе границы и пограничным вопросам Виталий Воробьев, в юридическом смысле никаких уступок или передач своей территории по дополнительному соглашению Россия не делает.",neutral
Digg зарабатывает почти $1 млн в месяц,neutral
Все время когда они развозят (с 9 до 6-ти) я был неотлучно дома.,neutral
"Допустим, что опрос неточен на 4% - это предельно допустимая ошибка при определенном количестве опрошенных, если соблюдать базовые методологические ограничения.",neutral
"И, странным образом, не обрадовались такому способу «спасения» обсерватории.",negative
Эта победа отдалила подмосковную команду от опасной зоны внизу турнирной таблицы.,positive
"То есть я понимаю, что база Нато в Ульяновске может быть угрозой безопасности.",negative
"Впрочем, такую картину, только в меньших масштабах, можно наблюдать зимой почти в каждом московском дворе — всегда есть какой-то участок, который дворники ДЭЗов не хотят убирать, потому что не могут решить, кому принадлежит участок.",negative
"И мы с лёгкостью прощали им те качества, которые, скорее всего, нас смертельно оскорбили бы в реальной жизни, в реальном контакте.",mixed
"А тут вообще мир и оттепель, и в космос полетели, и так хочется жить, и любить, и быть любимым.",positive
Денег за Аляску Россия действительно не получила.,negative
Но совсем прощаться с достоверностью не годится.,negative
"Марина рассказывает о происхождении слов английского языка в весьма игривой форме, устраивая каждый раз настоящее шоу.",positive
"Так выяснилось, что электронные библиотеки пользователей удалённо управляются Amazon.",neutral
Меня уже тошнит от всех этих поборников «чистоты веры»,negative
"App Inventor, впрочем, может сделать и много полезного для малого бизнеса: небольшие закусочные смогут, к примеру, создавать приложения для быстрого и удобного заказа еды со смартфонов.",positive
"Отметим, что эксперты оценивают Palm около 870 млн долларов, однако во сколько оценивают своё детище Джефф Хокинс, Донна Дубински и Эд Коллиган, не сообщается.",neutral
И все эти ручейки сливались в единую реку у главного железнодорожного вокзала.,neutral
За что я не люблю 8 Марта?,negative
"И дело даже не в том, что некоторые страны, в том числе Россия и Китай, имеют значительную часть долларов в золотовалютных резервах, а дело в том, что возможен системный сбой во всей экономике,",negative
Разрыв между богатыми и бедными увеличивается,negative
Я уже поручил начать работу над изменениями нашего избирательного законодательства.,neutral
"Не надо считать меня человеком, который в восторге от своего города.",negative
"Во время поминания специально обученный батюшка толкал телегу на тему того, что сейчас закон Божий не соблюдается и люди погрязли в разврате и беззаконии.",negative
"Сюжеты и идеи для большинства картин Алекса Грея рождаются в медитативном состоянии и во время арт-перфомансов, которые он проводит, путешествуя по миру.",neutral
"Хватит пороть хуйню, ей же больно.",negative
Это — хороший признак растущей покупательной способности в населения.,positive
"Итак, неделю назад я вернулся из Петрозаводска, где с 11 по 16 сентября был RuSSIR 2009, летняя школа по информационному поиску.",neutral
"А здесь, кажется, у нее отняли, погасили весь ее блеск.",negative
"Разработчики дистрибутивов ПСПО («Альт Линукс», «Армада») пытаются помочь школам, чем могут и думают, что делать дальше.",positive
"Минувшие выходные позволили жителям центральных регионов вдохнуть хоть немного прохлады (конечно, весьма относительной на фоне 38-градусной жары).",positive
"Либерал-демократы постоянно становятся жертвой этой системы, поскольку их голоса «размазаны» по стране, округов, где они имеют большинство, — менее 10%.",negative
"В Тобольске Наталья Дмитриевна знакомится с протоиереем С.Я. Знаменским, который был духовником декабристов, отбывающих ссылку в Кургане, Тобольске и Ялуторовске.",neutral
Фильм «Утомлённые солнцем-2: Предстояние» — это продолжение картины 1994 года.,neutral
"(Впрочем, ещё четыре оркестра топ-класса, входящие в двадцатку, побывали за последние годы в Москве благодаря усилиям столичной филармонии.)",positive
Верховная рада четвертый день не может работать в обычном режиме из-за блокирования главной трибуны.,negative
Живу я в небольшом городке недалеко от Иерусалима (40 тыс. населения).,neutral
"Такое подозрения выдвинула группа китайских интернетчиков, которые обнаружили фотографию участка лунной поверхности, опубликованную НАСА два года назад.",neutral
Поэтому сижу и читаю столбики телепрограммы обыкновенных общедоступных каналов.,neutral
Официальные результаты голосования будут объявлены в понедельник.,neutral
"Как правильно: научный этикет предполагает, что вместо""Я""используется""Мы"".",neutral
В результате этого манёвра китайская сторона получит дополнительную прибрежную территорию.,neutral
Школьников просто задолбали примерами из его жизни и призывами следовать ему во всём.,negative
Работы Илан существуют в этой традиции и соответствуют его достижениям последних 40 лет.,neutral
Что всё не бесследно и всё не напрасно.,positive
"Только посты, селфи с митинга, опять посты…",neutral
"При нём команда заиграла лучше, чем было.",positive
"А в городе Саранске есть клуб «Гагарин», там иногда поет Михаил Шуфутинский.",neutral
"Кто-то пытается делать свой Google Voice, предоставляя возможность редиректа и голосовой почты.",neutral
"Пал пошёл по ветру в нашу сторону, выжег с десяток кустов и образовал пятна по 5-40 метров в диаметре.",negative
Из культуры у нас останутся только иллюзорно красивые пейзажи.,negative
В понедельник президент и главный исполнительный директор Yahoo! Марисса Майер объявила о покупке в микроблоге компании на Tumblr.,neutral
"Маленький медведь чёрного цвета, размер не более 10 см — 1 шт.;",neutral
За пределами США в настоящее время чаще употребляется как прозвище всех американцев — уроженцев США.,neutral
Впервые с помощью шаттла американцы ремонтируют спутники на орбите и возвращают неисправные спутники с орбиты на Землю.,positive
"По различным оценкам, число мусульман в Астраханском регионе составляет около 500 тыс. человек.",neutral
"Стоимость смартфонов Apple - одного из потенциальных конкурентов Xiaomi на российском рынке - в IV квартале 2014 года в России выросла на 70%, вследствие чего аппараты перестали быть доступны многим покупателям.",negative
Позже они вместе работали в телеадаптации книг Вудхауза про Дживса и Вустера.,neutral
"Их так пережитый голод изнутри грыз, что плач живой девочки, родной, любимой, голос этого голода перекрыть не мог.",negative
"• Стивен Фрик (дата рожд. 30.09.64) — командир экипажа, 2-й космический полёт",neutral
"Бумажек-то много, плюс копии их же (за свой счет, между прочим)!",negative
"И что это за новая чушь такая, с запретом курения на верандах?",negative
Сенсационное заявление было сделано Папой в послании к пастве по случаю Всемирного дня социальных коммуникаций (World Day for Social Communications).,neutral
"Мне это казалось несколько навязчивым, если не сказать невежливым.",negative
Ведь бин Ладен объявил войну и против Пакистана и отдавал приказы об атаках против пакистанского народа.,negative
"Просто трудно поверить, что такой пустопорожний текст произвела на свет англичанка.",negative
"Будем составлять акты, будем подавать иски в суды, заявления в полицию, начнём кампанию в СМИ.",negative
Персонаж Боб присутствует в «Твин Пиксе» и в ваших картинах.,neutral
"Кроме этого, размещение научной статьи в журнале открытого доступа позволит учёному оперативно заявить об авторстве на идею и надёжно защититься от плагиата.",positive
"Муди много пьёт, бесчинствует, периодически попадает в тюрьму, спит с невероятным количеством женщин, при этом любит только одну.",negative
"Презентации, нарисованные бледно-голубым по ядовито-зеленому, выжигают сетчатку глаза комиссии и другим слушателям.",negative
"Во-первых, обидно, когда тебя пытаются обмануть.",negative
"Акунин прославился как мастер стилизации, требовавшей эрудиции и мастерства.",positive
"Я скоро перестану вообще различать всю эту кино""продукцию"", потому что на вкус она как туалетная бумага.",negative
"Конечно, и раньше эти факты публиковались.",neutral
"Я безмерно гордилась тем, что сама сажусь в автобус, делаю пересадки и добираюсь до места назначения.",positive
Лишь золото Владимира Белоусова на Олимпиаде 1968 года в Гренобле так и осталось единственной наградой за всю историю отечественных прыжков с трамплина.,negative
"Предполагается, что на это уйдёт около двух недель.",neutral
«Правый руль» Авченко и «Люди в голом» Аствацатурова,neutral
"Они теперь платят за их мелочность и некомпетентность, расплесканной поперек первых полос во всем мире.",negative
Четыре песни из саундтрека к этому фильму написала сама певица.,neutral
На самом деле при озвучивании азана допускается ограниченное количество децибелов.,neutral
"Положение в провинции начало меняться в 1960 году, когда к власти в местном парламенте пришла Квебекская либеральная партия Жана Лесажа, провозгласившая борьбу за равенство французов и англичан.",neutral
Главному герою лет 11 на вид.,neutral
"Простынь, наволочек, чепчиков, чулков, бумазейных юбок, подвязок, скатертей, платков и проч. должно быть в достаточном количестве.",neutral
"Хотя не очень понятно, что производят эти толпы пиарщиков, креативщиков, имиджмейкеров, спичрайтеров – руду и книги они не производят, это точно.",negative
Штрафанут ли их по поводу тишины и покоя?,negative
За провал в космосе полетели первые головы,negative
Никакого нового автозавода в Тольятти никто не построил.,negative
"Взять только самый понятный, чисто семейный аспект, родительско-детские отношения, без политики и идеологии.",neutral
Новая версия браузера от Mozilla Foundation работает в несколько раз быстрее предыдущей.,positive
"В коалицию с либерал-демократами, как было сказано выше, консерваторы не собираются по идейным соображениям, а лейбористам такая коалиция ничего не даст, голосов всё равно не хватит до большинства.",negative
"Самое страшное, что многие просто пожимают плечами и этого не замечают.",negative
"Дача с удобствами, ни кур, ни коровы, ни огорода, ребенок вполне здоровый, муж на машине привозит продукты и памперсы.",positive
"Фильмы отражают мир, в котором мы живем.",neutral
"Это никакая не литература, это коммерческая программа по формированию определенной категории социальных тел.",negative
"Ох, эти разводы семидесятых -- болезненные, жестокие, с запретом видеться с детьми, с разрывом всех отношений, с оскорблениями и обвинениями.",negative
"Производитель карманных персональных компьютеров и смартфонов на основе Palm OS объявил о том, что готов уйти с молотка, и уже даже приступил к сбору заявок от желающих обзавестись корпорацией.",neutral
"Вот вы ж, наверное, на иномарке ездите, а не на ломучем автопроме?",negative
Следующий психологический механизм из того же ряда: для человека не столь значимы отдаленные в пространстве и времени ориентиры (если только это не его собственная юность с ее приукрашенными воспоминаниями).,neutral
"Как заметил сам Собянин, подобных инспекций не проводилось с 2001 года.",neutral
"Слишком часто употребляется слово""Я""(в контексте""Я сделал..."",""Я решил..."",""Я исследовал..."") и""Моя""(""Моя задача..."",""Мой пример..."").",negative
Отсюда и обсуждение возможной уступки Карабаха.,neutral
"Дискриминация, в частности на рынке труда, цветёт махровым цветом, как пресловутые восьмомартовские мимозы.",negative
"Важнейшая задача, которая стоит перед Н.Каном и его новым правительством, — это проведение через парламент бюджета страны на 2011 финансовый год (начнётся 1 апреля 2011 года).",neutral
В рамках этого дела ряд экологических активистов и известных ученых МГУ и РАН подверглись обыскам и допросам.,negative
Фильм выйдет на экраны в 2011 году.,neutral
"Президент Курманбек Бакиев издал указ о введении чрезвычайного положения на месяц на территории Бишкека, а так же Чуйской, Таласской областей.",negative
"По его словам, он сам выступает против подобного развития событий, передает РИА «Новости».",neutral
Очень мало приложено интеллекта в генерировании этих текстов.,negative
"Щёлкаете на вкладку и получаете список иконок с мини-приложениями: блокнотом, калькулятором, видеопроигрывателем.",neutral
"Украинская компания""Нафтогаз""зарезервировала большую часть мощностей газопровода на пять лет.",neutral
Ведь во все времена и эпохи для людей было высшим счастьем участвовать в новых открытиях.,positive
"Короче, к чему я это всё говорю: на свете есть не так уж и много тем, которые вызывали бы столь бурные дискуссии и оживлённое бросание говном, как споры о нужности или ненужности бакалавров.",negative
"А это значит, что благодаря китайским дамбам сток пограничных рек будет и дальше распределяться не в пользу России.",negative
"Оставался один, самый к нам близлежащий доктор.",neutral
"Он как раз начал рассказывать о прототипах – Лавинии Жадимировской и Сергее Трубецком, ужасно интересно.",positive
Другая распространённая ошибка — отсутствие цен на сайте.,negative
"Всё это подается с видеорядом на заднике, где проецируется история Бенджамина Баттона на жизнь впервые полюбившей девушки и героиня Насти превращается в старуху.",neutral
"Это означает, что усилитель не будет иметь сильных нагрузок на выходных каскадах в те моменты, когда сопротивление акустических систем будет снижаться до 2 Ом.",neutral
"Джоэл писал, что всегда есть цена, за которую можно найти хороших программистов: разместите объявление в центральной газете во всю полосу и предложите спортивный автомобиль в качестве бонуса.",neutral
(Чемпиона тренирует русский тренер Николай Морозов.),neutral
"Лиза недовольна этим выбором и заявляет продюсеру, что Барт слишком туп (Барт всё это видит в гримерке по мини-телевизору).",negative
"В Перми, где «Амкар» принимал «Локомотив», случилась вторая за тур волевая победа.",positive
"Продолжает набирать обороты скандал, вызванный вручением 10 декабря премии Кандинского художнику Беляеву-Гинтовту за работы «Родина-Дочь» и «Братья и сестры».",negative
Изображения на фотографиях НАСА и Китая очень похожи.,neutral
"Если верить Ему, все мы Его дети.",neutral
"В среду 12 января парламент Таджикистана проголосовал за передачу 1000 квадратных километров земель, что составляет более трех процентов оспариваемой территории.",neutral
"Ответ: они должны быть у стойки регистрации, но регистрации сейчас нет, поэтому их там тоже нет, попробуйте посмотреть на втором этаже.",neutral
Как передаются эмоции с экрана в душу человека?,neutral
Компания Microsoft запустила новый пакет программ.,neutral
"Выполняясь с закрытыми или завязанными глазами, она включает в себя пять этапов, четыре из которых сопровождаются музыкой, специально написанной Дойтером.",neutral
"Я уже писал о «Капитализме» Олега Лукошина, «Елтышевых» Романа Сенчина, «Крещённых крестами» Эдуарда Кочергина.",neutral
Такие компании в основном и добавляют черные краски в общую картину авиационной безопасности России.,negative
"Согласно предложенному определению: «Планета — это небесное тело, которое (а) имея достаточную массу, за счёт сил собственной гравитации принимает гидростатически равновесную (близкую к сферической) форму, и (б) вращается вокруг звезды, при этом не являясь ни звездой, ни спутником другой планеты».",neutral
Введение таких фильтров в детских учреждениях в качестве пилотного проекта с неподтверждённой безопасностью — это просто безобразие.,negative
"И надо сказать, что британские кукловоды, сфера влияния которых не ограничивается британскими островами, и сегодня используют проверившую себя веками практику разжигания войн и революций во всей Евразии.",negative
"Это тяжело и горько, осознание собственных ошибок, заблуждений и упущенных возможностей.",negative
Для Еревана характерна гиперболизация роли Москвы на постсоветском пространстве.,neutral
Попробуй подумай что-нибудь не так про бога - и мгновенно получишь именную вязанку дров и изрядную порцию очистительного огня с бесплатным билетом на небеса.,negative
Министр обороны США Роберт Гейтс обратился к Берлину и Варшаве с призывом принять активное участие в военной операции в Ливии.,neutral
"Близок и самый активный — с точки зрения маркетинга — месяц продаж бытовой электроники: традиционный для США период заготовки рождественских подарков, который начинается в «чёрную пятницу», 26 ноября.",neutral
"Согласно соцопросам, протесты поддерживают 75% населения.",neutral
"К востоку от России — Китай с населением 1,3 млрд. чел. и экономикой, в 4 раза превышающей российскую; экономика Японии в 5 раз крупнее российской.",neutral
В одном из магазинов появилось объявление с предложением купить в кредит элитный алкоголь.,neutral
"Рогозин полагает, что пора разработать космический корабль, который будет заниматься уборкой космического мусора.",neutral
"В условиях, когда не обозначен срок действия договора он признаётся действующим до момента выставления требования владельцем о возврате права физического управления.",neutral
"Почему, неся (по его же правилам) местами даже уголовную ответственность за предоставление ложных сведений о себе, я все равно должна бегать с кипой бумажек по 1000 инстанций и в каждой предъявлять свидетельство о том, что я не верблюд?",negative
"Сворачивание программы может начаться на любом заседании, без какой-либо пресс-конференции.",neutral
"Патер Браун не лжёт своим детям, и они ценят это.",positive
Об этом украинский лидер заявил в ходе пресс-брифинга в Брюсселе после встречи с председателем Еврокомиссии Жозе Мануэлом Баррозу.,neutral
"Оштрафовали, когда мы во дворе с мужиками в домино играли и вино пили.",negative
"По состоянию на конец июня Греция выполнила все основные условия программы, а экономические реформы идут с опережением графика,",positive
В городе сейчас почти 11 часов вечера.,neutral
"По мнению доктора философских наук Николая Трофимчука, данному методу медитации отводится центральное место в учении Ошо.",neutral
"Конфликт между бывшим""народным мэром""Севастополя Алексеем Чалым и и.о. губернатора Сергеем Меняйло, чуть поутихший под нажимом Кремля, вспыхнул с новой силой.",negative
"Можно не придумывать герою имя, а сразу назвать его, скажем, Акакием Акакиевичем.",neutral
А их появление в транспорте стало сложной проблемой для пассажиров пожилого возраста.,negative
Каждый день на своем сайте вы публикуете прогноз погоды.,neutral
Сумеет ли Google привлечь на сторону Chrome пользователей других веб-браузеров — вопрос времени.,neutral
"Впрочем, если ты останешься, тебе все время будут говорить, что нужно устраивать собственную жизнь, и что ты все делаешь не так, нехорошо и неправильно, иначе уже давно была бы своя семья.",negative
"решает Взрослый, медленно превращающийся в Гракха с невнятным будущим, в котором он, зависнет, раненый, в полупрыжке, и построит свой «Адамов мост».",negative
"И пока, в сущности, целиком его и занимает, продав только за первые 80 дней 3 млн штук.",neutral
Опустим имперские интересы Японии в регионе и геополитические гамбиты японо-российско-английского противостояния.,neutral
То были лучшие из крестьян — с точки зрения обработки земли и результатов тяжёлой работы.,positive
Об этом сообщили ИТАР-ТАСС в пресс-службе МВД.,neutral
Многие участники плебисцита заняли с ночи места в очередях у избирательных участков.,neutral
"По другой версии Janke является уменьшительным производным от нижне-немецкого имени Jan, а вовсе не от фамилии.",neutral
"23 августа 2008 года Мадонна отправилась в мировое турне в поддержку альбома (""Sticky&Sweet""Tour), ставшее крупнейшим за всю карьеру певицы: 85 концертов Мадонны посетили 3,5 миллиона человек, общая выручка составила 408 миллионов долларов.",neutral
"С уважением, москвичка Елена Владимировна Михайлова.",neutral
"Экономика, созданная в последние 50 лет, может рухнуть после ухода из провинции иностранных предприятий, в первую очередь американских.",negative
Обычно она начинается в последнюю неделю декабря-начале января и длится до первых чисел марта.,neutral
"Зачем возвращать с того света еще одного слона, когда мы даже живые виды не можем спасти от истребления?",negative
"Они обвиняют социальную сеть в нарушении неприкосновенности частной жизни, незаконном сборе и передаче персональных данных, а также в слежке за пользователями с помощью""лайков""и приложений.",negative
Возникает вопрос — кому это выгодно? — заявил спикер ВР Владимир Литвин в ходе своего визита в Российскую Федерацию 13 мая.,neutral
Повезло президенту и с урожаем риса.,positive
"Кроме того, дипломаты разжигали антиукраинские настроения среди румын, живущих на территории Украины, а также вмешивались в языковую политику государства.",negative
"Я сейчас думаю, что вокруг нас просто возникли какие-то магнитные поля, какое-то смещение вековых тектонических плит.",neutral
"Своевременное и качественное обслуживание этих машин, подготовка экипажей является во многом делом совести владельца этой компании, который нередко глушит это чувство в погоне за прибылью.",negative
"К сожалению, конкретно это занятие никак не повлияло на мои разговорные способности и совсем не расширило словарный запас, зато я узнала немало нового об особенностях жанра криминального детектива в Америке сороковых годов, о технике игры в сквош, научилась изображать американку среднего класса, держащую шляпный магазин.",mixed
"Помните тот переделанный плакат голливудского фильма, где Чехов с бицепсами, в камуфляже и с автоматом наперевес?",neutral
Один в одну комнату - другой в другую.,neutral
"Нет, она не него злится – на судьбу, на свою поломанную жизнь, на того, кто ушел и оставил и больше не поможет.",negative
Лето распланировано под многочисленные концерты по Норвегии.,neutral
Я не получи никакой компенсации за подготовку в течении нескольких месяцев и упущенного дохода.,negative
"По мнению главы РПЦ, такое восприятие жизни особенно вредно в детском и юношеском возрасте.",negative
